net,length_um
u_align.ExpDiff\[7\],272.54
_05018_,272.085
_04156_,271.995
_05877_,271.615
u_align.ExpDiff\[16\],271.51
_04404_,271.5
net392,271.06
_02855_,270.97
_06957_,270.96
_05356_,270.6
_04592_,270.49
_03340_,270.41
net65,270.34
_03568_,270.22
_05763_,270.02
_08085_,269.83
_11276_,269.8
_04621_,269.7
_09174_,269.21
u_multiplier.partial_sum\[20\],269.04
u_align.ExpDiff\[20\],268.5
net58,268.44
_02774_,267.815
clknet_4_12__leaf_clk,267.18
u_multiplier.partial_sum\[15\],267
u_align.Aligned_C\[148\],266.64
net146,266
_06715_,265.875
_10442_,265.13
u_component_formatter.B_in\[41\],265.12
net16,265.02
net116,265.02
_03523_,264.99
_03717_,264.43
_06204_,264.43
net94,264.38
u_align.Aligned_C\[97\],264.37
_05247_,264.22
_11033_,263.485
_04029_,263.39
u_exp_compare.ProdASC\[2\],263.27
_06638_,263.225
_03347_,262.48
_10990_,262.31
_06947_,262.265
_10708_,262.13
_07206_,261.99
_05019_,261.74
_03562_,261.72
_07954_,261.68
_04889_,261.58
u_component_formatter.B_in\[45\],261.26
_04745_,261.18
_09402_,261.145
_08621_,260.12
_04950_,260.05
u_component_formatter.C_in\[13\],259.975
_01881_,259.74
_05310_,259.62
net572,259.28
u_component_formatter.C_in\[9\],259.175
_03173_,259.16
_04132_,258.27
clknet_4_13__leaf_clk,257.65
_02699_,257.56
_06855_,257.2
_04593_,256.99
_05560_,256.94
_04777_,256.78
_11031_,256.52
_07158_,256.16
_10954_,256.04
_03465_,255.95
_09231_,255.91
_04120_,255.86
_10307_,255.86
_04720_,255.63
_10991_,255.605
_06714_,255.53
u_component_formatter.B_in\[13\],255.48
_06481_,255.43
_10046_,255.42
net408,255.24
_06814_,255.01
_06806_,255
_07032_,254.9
_06964_,254.74
u_align.Aligned_C\[106\],254.72
_06479_,254.395
u_component_formatter.B_in\[30\],254.17
net789,254.16
_02853_,253.71
_07207_,253.56
u_multiplier.partial_sum\[5\],253.445
_07135_,253.18
u_align.Aligned_C\[2\],253.14
_07308_,252.44
_04824_,252.23
_05760_,252.215
net514,252.16
u_align.Aligned_C\[62\],252.12
_05301_,252.09
_09317_,251.96
_04133_,251.69
_05385_,251.31
_07578_,250.695
_04483_,250.44
clknet_4_11__leaf_clk,250.22
u_align.Aligned_C\[67\],249.54
_04992_,249.24
_04692_,249.1
_05495_,248.95
_05470_,248.64
u_component_formatter.A_in\[29\],248.42
_09711_,248.2
_09051_,248.19
_03233_,248.18
net163,247.9
_03566_,247.8
_03815_,247.78
_06840_,247.73
_03441_,247.52
net858,247.51
_07686_,247.2
net547,247.2
_08316_,246.99
_04253_,246.785
_01973_,246.24
_09712_,246.21
u_align.Aligned_C\[131\],246.06
_04336_,245.965
_09983_,245.25
_09416_,244.85
_04648_,244.68
net510,244.62
_06380_,244.44
_01577_,244.325
_02909_,244.27
_03391_,244.055
_05449_,243.88
_11544_,243.72
u_align.ExpDiff\[5\],243.335
_05612_,242.96
_07129_,242.74
_05904_,242.64
_05741_,242.52
_05271_,242.27
net579,242.12
_02530_,241.795
_09982_,241.755
_07130_,241.525
_06651_,241.5
_11385_,241.42
net402,241.3
_04676_,240.86
_10050_,240.755
_09417_,240.635
u_multiplier.partial_sum\[33\],240.2
_03218_,240.08
_04597_,240.03
_04744_,239.64
_08780_,239.64
_03349_,239.55
_07451_,239.44
_11832_,239.3
u_component_formatter.A_in\[62\],239.14
_08651_,238.94
_05779_,238.6
_08106_,238.28
net5,238.28
_12446_,238.09
_12928_,237.89
net602,237.82
_09767_,237.57
_04987_,237.545
_08529_,237.5
u_component_formatter.C_in\[11\],237.155
u_component_formatter.A_in\[23\],237.1
_08226_,236.98
_07956_,236.94
_06022_,236.595
_06927_,236.59
_06973_,236.56
_04077_,236.54
_05015_,235.96
_10482_,235.86
_05182_,235.735
_03342_,235.11
_07576_,235.11
_07962_,234.98
_02386_,234.885
_01889_,234.46
_06107_,234.43
_08183_,234.26
_05145_,234.1
_02813_,234.025
_06717_,233.95
_05230_,233.81
_10687_,233.64
u_multiplier.partial_sum\[63\],233.61
u_component_formatter.B_in\[47\],233.6
u_component_formatter.B_in\[28\],233.51
_04751_,233.25
_05469_,233.16
_06064_,233.05
_04774_,232.98
net74,232.84
net190,232.84
_04573_,232.74
_11983_,232.65
_03466_,232.5
_04669_,231.98
_11035_,231.88
_07783_,231.76
net667,231.76
_07429_,231.72
_08230_,231.67
_03609_,231.15
_05191_,231.09
_11513_,231.085
_04368_,230.835
_02707_,230.79
_04377_,230.7
net622,230.46
_04990_,229.88
_10713_,229.68
_07950_,229.49
_07507_,229.43
net164,229.18
_07960_,229.01
net422,229
u_exp_compare.ProdASC\[36\],228.98
_09928_,228.885
_04724_,228.63
_09187_,228.625
_06007_,228.49
_00335_,228.32
_05297_,228.165
_02539_,227.92
_11735_,227.86
_02772_,227.83
net819,227.71
u_align.Aligned_C\[14\],227.68
_03270_,227.48
_03619_,227.46
_02537_,227.29
_06072_,227.18
net807,227.07
u_align.ExpDiff\[19\],226.91
_05197_,226.765
_05368_,226.545
_08946_,226.33
_05569_,226.15
_05805_,226.11
_06338_,225.74
_07150_,225.73
_10694_,225.715
_05809_,225.68
_05639_,225.24
_03423_,224.92
_05584_,224.34
_05323_,224.09
_02746_,223.82
u_multiplier.partial_sum\[31\],223.76
net606,223.64
_03534_,223.56
_01820_,223.54
_05194_,223.15
u_multiplier.partial_sum\[88\],223.1
_05248_,223.08
_09731_,222.87
_03269_,222.64
u_multiplier.partial_carry\[75\],222.54
_05642_,222.425
_05165_,222.415
_10974_,222.335
_00392_,222.19
_02795_,222.12
_12681_,221.92
_08441_,221.9
_03521_,221.81
_04562_,221.655
_07969_,221.64
net691,221.54
net99,221.48
net605,221.46
u_multiplier.partial_sum\[29\],221.37
_10962_,221.09
net546,221.02
_08783_,220.96
_03962_,220.925
_05243_,220.66
_07334_,219.89
net571,219.86
_08951_,219.73
_05467_,219.265
_10696_,218.92
_03549_,218.7
u_multiplier.partial_carry\[40\],218.64
net629,218.58
_04361_,218.55
u_align.Aligned_C\[91\],218.54
_04843_,218.3
_05888_,218.205
_09709_,218.155
_08244_,218.05
_09154_,218.035
