net,length_um
_20580_,202.83
_07373_,202.81
_06813_,202.66
_01267_,202.55
_15158_,202.46
_02176_,202.455
u_stage1.Aligned_C\[158\],202.38
_01916_,202.14
u_stage3.Add_Rslt_s3\[46\],201.99
_11606_,201.92
u_stage3.Add_Rslt_s3\[0\],201.92
u_stage1.partial_products_sum\[9\],201.83
_12581_,201.82
net81,201.82
_17228_,201.78
_17382_,201.73
_14016_,201.66
_09471_,201.48
_18129_,201.34
_10753_,201.32
_11541_,201.3
net460,201.27
_02617_,200.77
u_stage1.A_reg\[58\],200.75
_14261_,200.615
_05586_,200.585
_07003_,200.49
u_stage1.ProdASC\[48\],200.415
_11788_,200.385
_14300_,200.19
_02180_,200.18
_02511_,200.04
_20680_,199.97
_11639_,199.94
net15,199.92
_04393_,199.82
_14297_,199.5
_01880_,199.455
_02512_,199.29
_20795_,199.25
_20895_,199.185
_14621_,199.16
_02986_,199.115
_11748_,199.04
net135,198.92
_01656_,198.68
_20582_,198.555
_11115_,198.42
_04709_,198.25
_14258_,198.07
_20822_,198.06
_20739_,198
u_stage4.Result_comb\[29\],197.98
_11473_,197.62
_18164_,197.6
_05248_,197.3
_01256_,197.18
_06403_,197.12
_20624_,196.51
_08063_,196.5
_18106_,196.42
_20614_,196.415
_20398_,196.4
_14252_,196.34
_14392_,196.16
_18650_,195.81
_00702_,195.78
_11543_,195.72
_07204_,195.42
_11775_,195.31
_15488_,195.21
_19364_,195.08
_20805_,195.06
_20697_,194.99
net416,194.99
_06908_,194.96
_10895_,194.72
_11210_,194.61
_14329_,194.56
_14359_,194.5
_14304_,194.46
_14568_,194.455
_07547_,194.42
_20394_,194.31
net235,194.28
_02718_,194.26
_04638_,194.245
net165,194.24
_12561_,194.235
_20845_,194.21
_10942_,194.12
_07044_,194.07
_14581_,194.04
_02891_,193.98
_04011_,193.85
_05031_,193.73
_02513_,193.63
_11691_,193.58
_20625_,193.45
_05401_,193.34
_04915_,193.28
_04139_,193.26
_05588_,193.15
_08497_,193.14
_06186_,192.92
_10943_,192.88
_20352_,192.69
_15426_,192.685
_21208_,192.68
_20392_,192.505
_11269_,192.47
_04019_,192.45
u_stage1.Aligned_C\[143\],192.43
_11090_,192.42
_03847_,192.375
_12578_,192.3
u_stage1.ProdASC\[51\],192.17
_11246_,192.09
_05012_,192.06
_20192_,191.88
_01595_,191.81
_03041_,191.795
_09482_,191.785
_05182_,191.69
_01122_,191.56
_20938_,191.535
_21185_,191.52
_14027_,191.42
net340,191.42
_20692_,191.34
_18152_,191.25
_18579_,191.24
net446,190.92
u_stage3.Add_Rslt_s3\[48\],190.66
_03560_,190.6
_00651_,190.57
_01288_,190.56
_00893_,190.465
_17419_,190.455
_09382_,190.44
_01287_,190.365
_20475_,190.34
_14364_,190.28
_12014_,190.27
u_stage1.B_reg\[59\],190.23
_11664_,190.095
_07799_,189.9
_05951_,189.88
_21026_,189.81
net417,189.73
_01870_,189.65
_10930_,189.58
_11865_,189.58
net438,189.57
_02232_,189.51
_05873_,189.51
_15830_,189.47
_15515_,189.42
_19199_,189.42
_16317_,189.32
_07126_,188.72
_17217_,188.6
_07280_,188.55
_14723_,188.49
_00945_,188.44
u_stage1.Aligned_C\[160\],188.37
_02026_,188.34
_12600_,188.32
_07256_,188.31
_04980_,188.275
net396,188.18
_11791_,188.16
_11095_,188.08
_14251_,188.07
_09007_,187.96
_14202_,187.96
_21099_,187.86
_05800_,187.83
u_stage1.Aligned_C\[162\],187.79
_19422_,187.72
_11243_,187.57
_12692_,187.52
_15085_,187.48
_01200_,187.46
_16296_,187.35
u_stage3.LZA_CNT_s3\[11\],187.33
_16925_,187.3
_05361_,187.27
net164,187.22
_00720_,187.09
_15094_,186.9
u_stage1.C_reg\[60\],186.84
_11298_,186.72
_01201_,186.7
_06260_,186.7
_14301_,186.65
_01344_,186.57
_14403_,186.55
_11232_,186.53
_15069_,186.39
_17592_,186.36
_21022_,186.18
_12033_,186.09
_01821_,185.92
u_stage1.C_reg\[29\],185.9
_08173_,185.82
_14624_,185.79
net366,185.63
_04164_,185.58
_20947_,185.48
_20090_,185.44
u_stage3.Add_Rslt_s3\[126\],185.43
_03838_,185.4
_20821_,185.36
_20892_,185.185
_18199_,185.14
_11121_,185.04
u_stage1.B_reg\[5\],185.02
_07747_,184.44
_06709_,184.3
_05339_,184.22
u_stage1.Sign_C\[3\],184.1
_12570_,184.04
_14412_,184
_14351_,183.93
_01242_,183.84
_20882_,183.78
_18721_,183.73
u_stage4.Result_comb\[26\],183.6
_20415_,183.54
_17464_,183.47
_21083_,183.26
u_stage4.Result_comb\[20\],183.26
u_stage1.Aligned_C\[139\],183.15
_09470_,183.06
_05035_,183.03
_02776_,182.99
_01134_,182.965
u_stage1.Sign_AB\[2\],182.94
_16913_,182.91
_17249_,182.89
_09461_,182.82
_05862_,182.76
_04584_,182.605
u_stage3.Add_Rslt_s3\[109\],182.57
_15236_,182.455
_17374_,182.385
_14278_,182.26
_15518_,182.25
_21033_,182.19
u_stage1.Aligned_C\[161\],182.18
net63,182.08
net231,182.05
_14610_,182.04
_19466_,182.02
_11369_,181.985
_21164_,181.85
_07388_,181.84
_11662_,181.48
_04928_,181.43
_05404_,181.425
_05872_,181.13
_10765_,181.04
u_stage4.Result_comb\[62\],181
_03866_,180.76
u_stage3.Add_Rslt_s3\[4\],180.74
_06961_,180.72
_11733_,180.59
_07744_,180.54
_04961_,180.46
_15716_,180.26
_03472_,180.055
_00635_,179.88
_14269_,179.77
_02937_,179.73
_04844_,179.62
_07032_,179.57
_06378_,179.55
